user_id,item_ids,timestamp
16313,"[9714, 9052, 6766, 6766, 5100, 7956, 10499, 7863, 8237, 8253, 6780]",1384473600
8959,"[11377, 1868, 9345, 10645, 13383, 13826, 14238, 13638, 13177, 13301, 14731]",1443744000
38483,"[9607, 12976, 8315, 9916, 10794]",1428105600
35339,"[14367, 15938, 8831, 8962, 11783, 13776, 9108, 10617, 10617, 12026, 12230]",1463616000
4106,"[977, 985, 1004, 1031, 1858, 2810, 2838, 3186, 3668, 3996, 3998]",1405728000
466,"[1274, 477, 25, 117, 148, 208, 901, 192, 1410, 1066, 170]",991872000
23,"[14762, 14765, 14830, 15538, 14949, 15499, 15767, 15881, 15594, 15596, 15725]",1460678400
52265,"[13761, 12538, 13372, 13405, 13382, 13064]",1435017600
30582,"[6242, 6242, 9318, 11901, 10777, 8660, 11645, 13742, 13761, 13466, 13219]",1421539200
971,"[370, 975, 9750, 3933, 87, 7517, 7518, 4984, 641, 16634, 6286]",1308787200
45573,"[12986, 14761, 14765, 14902, 15072, 15942, 14840, 15973, 10400, 13354, 15946]",1473379200
2880,"[10656, 15499, 1341, 15593, 3604, 13611, 8239, 11218, 11217, 12246, 16144]",1466726400
48711,"[11645, 13118, 13184, 14482, 14764, 15371]",1448668800
23779,"[12072, 13210, 4968, 13385, 13425]",1420502400
21853,"[8070, 8255, 8774, 8813, 8834, 9957, 9970, 10217, 10408, 10685, 2007]",1420761600
13738,"[8655, 8921, 8585, 9951, 8013, 10926, 2894, 5775, 10666, 11241, 12015]",1374364800
15839,"[9558, 9151, 9505, 6580, 6580, 9865, 5228, 10375, 11052, 11581, 12273]",1409961600
16,"[6800, 6800, 7941, 9347, 2, 11861, 9895, 11935, 12511, 12220, 12221]",1417219200
31989,"[12506, 12963, 12060, 12513, 12784, 12936, 12789, 12512, 6403, 6403, 11966]",1421020800
11407,"[6511, 8983, 9911, 10759, 10802, 2214, 10682, 9884, 9931, 5518, 5517]",1351555200
24220,"[16994, 9632, 9248, 9795, 10490, 7632, 10715, 5031, 10339, 17074, 10215]",1366588800
32291,"[6708, 6708, 7116, 7149, 6459, 6459, 9636, 9998, 10590, 10355, 6945]",1355961600
15065,"[9611, 9384, 3989, 4945, 10055, 10056, 9888, 10042, 10669, 10665, 7313]",1329609600
27005,"[5518, 8071, 8303, 8757, 10307, 10501, 10800]",1377561600
42507,"[9534, 10377, 10648, 10885, 10424, 12510]",1444953600
26878,"[5518, 7451, 8505, 8651, 9252, 9803, 9898, 10130, 10474]",1425859200
12679,"[12362, 13954, 8389, 12254, 11890, 13323, 13216, 15032, 14658, 15042, 14358]",1454716800
1888,"[2189, 2005, 1645, 2461, 2631, 2747, 2962, 2173, 2833, 2938, 2906]",1091577600
20319,"[4423, 7603, 7972, 6356, 6356]",1271548800
45004,"[10035, 10685, 11647, 11846, 12080, 12272, 12960, 13042, 13357, 13464, 13472]",1425945600
10088,"[5368, 4768, 4797, 6172, 6172, 5905, 5112, 3065, 6950, 7217, 7330]",1232496000
1006,"[6939, 5632, 7479, 6250, 6250, 7172, 7176, 7509, 7451, 6910, 7541]",1231113600
3353,"[3922, 3978, 3995, 4632, 4638, 5260, 5464, 5507, 5509, 5696, 5866]",1384646400
580,"[488, 12032, 3254, 2739, 722, 746, 747, 742, 41, 2149, 653]",1429574400
9529,"[8509, 10212, 3120, 7443, 9335, 7252, 7668, 9301, 7442, 7050, 8039]",1330214400
47014,"[11061, 11821, 11987, 12243, 10458, 13471]",1412208000
20338,"[13151, 17141, 9831, 9841, 10120, 10907, 11702, 11846, 12174, 12175, 12550]",1412899200
7513,"[2083, 3185, 3127, 2745, 2119, 3051, 3177, 3371, 3170, 2831, 3418]",1099353600
2239,"[3749, 7166, 8996, 7510, 8704, 7212, 9309, 8524, 5253, 8797, 9400]",1301443200
6458,"[3903, 3952, 4244, 4656, 4782, 4391, 3131, 4862, 5557, 5950, 5560]",1195430400
9047,"[1886, 2808, 3282, 3993, 1857, 1858, 3073, 3870, 1779, 2088, 2520]",1414022400
47779,"[12060, 12512, 12561, 11374, 13700, 13522, 11974, 12063]",1433548800
8837,"[2357, 2103, 2112, 1644, 1809, 2214, 15100]",1472083200
34814,"[10611, 10690, 11525, 12695, 12782, 13298, 13794, 13938, 14246, 14247, 4767]",1434758400
1959,"[6665, 10021, 1762, 12089, 13343, 836, 2460, 9860, 9459, 1864, 5252]",1435449600
3353,"[9858, 10177, 719, 393, 1836, 2035, 2452, 2579, 2600, 2804, 3632]",1384646400
5628,"[1060, 1478, 889, 1473, 1587, 1735, 1709, 1711, 1752, 1786]",1003104000
5935,"[991, 16601, 981, 999, 967, 1005]",1468195200
